id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
01e504aa85335c1834d2477c,Warning,Varning,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b5d24e2f630746364b8badd2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
06ced3a59a706e4dffdf58c3,Block websites that spread fake news,Blockera webbplatser som sprider falska nyheter,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,58edbdca0c13d49d81f36230,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
073c4ebf2fb95e1289468b4c,Check for updates at startup,Sök efter uppdateringar vid start,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,97f6d26a280875e86a137411,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
0947c5b50e7eba6aa98ec1ae,Block malicious websites,Blockera skadliga webbplatser,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1c4ad905bfc95e470b499597,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
09e8a6d570a6c276af6977aa,Any files,Alla filer,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d30abc402929e46fb9074f91,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
0a1a82616205925898898cd5,Systemwide ads/trackers blocker,Systemomfattande blockerare av annonser och spårare,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,148176e31ba01d486070dc63,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
0d44df25ed7cf616f8ea1b63,no database,ingen databas,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,40fe91c9ac07880a82492e6f,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
0ec2bcba99f5826be628fa97,None,Ingen,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,88fc472e24bfdcc5e9e31858,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
1024639b57f571a8bf0c70e3,dnsmasq configuration,dnsmasq-konfiguration,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,980f635989caf687a665803d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
1045833e7cde91aa411c75b2,Enable GUI logs,Aktivera GUI-loggar,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a80531ba1eddc103295e5754,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
10bde7d3213543d323756e83,disabled,inaktiverad,Codeberg:tblock,tblock-gui,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,8fd2a8206bd372698cdc482e,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/tblock/tblock-gui/tblock-gui_sv.po,a3fce6768501a66f6d7b3cdf391bdb1d579bf0aba365287337b9e3f3d46a0e84,{}
