id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
003540982bed52ee5464a5b3,Rename,Byt namn,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,8f4883322e6a700714d2bca1,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
00467239fba6a0d051be3598,Apr,apr,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,70eb51d1f9595c59280b4a39,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
0091b9dfc8a69c6a5c55d9d6,Includes all privileges except GRANT.,Inkluderar alla privilegier förutom GRANT.,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,ae5588d4d47ceee85c0da4c3,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
0130e49d94354409eefa91e0,All,Alla,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,ae9a6f3e09a2c95a0ff11205,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01408c251a1e8d9996b34eac,Missing connection parameters!,Anslutningsparametrar saknas!,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,bbbad4300d4fe60e1d60f33f,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
0199fb0693a3417e012b15be,Browser transformation:,Webbläsartransformering:,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,99c8230a5365e8b8b0b6211c,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01b23b72e100f952ec0d4b75,Two-factor authentication has been configured.,Tvåfaktorsautentisering har konfigurerats.,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,6669e10d1b9544e95e084ca7,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01cc4c8a971c26afe5934b7e,September,september,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,db3068cb9b2af09f06aeab4c,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01db78597057a2529f932793,Angular links,Vinklade länkar,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,f4806270ee9e26789d54b856,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01dce2e3b8ce738870478e4f,March,mars,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,e058c07e6e0ecec5289359a7,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
01fcd6e733c0f4394cb07fb9,Server name template,Mall för servernamn,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,b7284703913de9669a1ba0da,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
02426be80d6212a7758dfcdc,KiB,kB,phpMyAdmin-5.2,sv.po,,Bilingual translation changed in reviewed commit: l10n: review Swedish phpMyAdmin 5.2 UI,project-context,17b2c62cc7789f134cb808a4,review-commit,https://github.com/yeager/translations/blob/ff835ab9af67ffc89d5e2371b8b4f31a0053980f/phpMyAdmin-5.2/sv.po,8acb3aeb543e50f44b3e4219b37cb07fa0d4957b6eb494d6e266010154dc1d3e,{}
